gid,row,col,xcoord,ycoord,agri_gc,cmr_max,cmr_mean,cmr_min,cmr_sd,imr_max,imr_mean,imr_min,imr_sd,landarea,petroleum_s,ttime_max,ttime_mean,ttime_min,ttime_sd,urban_gc,water_gc
"55651","78","211","-74.75","-51.25","3.3796296","0.8","0.8","0.8","0","108","108","108","0","868.1979",,"1820","1541.5059","1322","93.67012","0","42.790123"
"55652","78","212","-74.25","-51.25","0.5462963","0.8","0.8","0.8","0","108","108","108","0","848.84296",,"1828","1526.1907","1327","88.94319","0","63.1821"
"55653","78","213","-73.75","-51.25","1.3765432","0.8","0.8","0.8","0","108","108","108","0","1587.5663",,"2328","1668.6436","1248","180.81592","0","27.450617"
"55654","78","214","-73.25","-51.25","1.9691358","0.8","0.8","0.8","0","108","108","108","0","1866.6704",,"1803","1102.76","706","223.15892","0","15.012345"
"55655","78","215","-72.75","-51.25","11.040123","0.8","0.8","0.8","0","108","108","108","0","1934.7673",,"1127","615.0868","378","159.67758","0","18.262346"
"55656","78","216","-72.25","-51.25","24.410494","5","3.5125","0.8","2.008692","128","120.916664","108","9.5652","1934.8945",,"1014","520.2292","270","167.56705","0","0.60493827"
"55657","78","217","-71.75","-51.25","6.340782","5","5","5","0","128","128","128","0","1934.7673",,"924","334.47974","223","115.1303","0","0.29174426"
"55658","78","218","-71.25","-51.25","0.56790125","5","5","5","0","128","128","128","0","1934.7673",,"402","258.40167","171","49.526016","0","0"
"55659","78","219","-70.75","-51.25","0.65123457","5","5","5","0","128","128","128","0","1934.7673",,"452","220.31639","123","77.91253","0","0.086419754"
"55660","78","220","-70.25","-51.25","2.5721302","5","5","5","0","128","128","128","0","1934.7673",,"305","157.5714","79","46.413376","0","0.09208103"
"55661","78","221","-69.75","-51.25","1.1327161","5","5","5","0","128","128","128","0","1934.7673",,"383","136.64305","46","71.04347","0","0.4691358"
"55662","78","222","-69.25","-51.25","0.033950616","5","5","5","0","128","128","128","0","1597.9141",,"411","163.34384","53","77.97039","0","17.253086"
"55663","78","223","-68.75","-51.25","0","5","5","5","0","128","128","128","0","9.43518",,"124","114.46154","108","6.476174","0","99.72839"
"56369","79","209","-75.75","-50.75","0","0.8","0.8","0.8","0","108","108","108","0","2.5369473",,"1575","1575","1575","0","0","99.96931"
"56370","79","210","-75.25","-50.75","1.4475309","0.8","0.8","0.8","0","108","108","108","0","609.6142",,"1915","1625.5682","1471","85.23633","0","72.75"
"56371","79","211","-74.75","-50.75","0.84876543","0.8","0.8","0.8","0","108","108","108","0","973.4392",,"1966","1705.4504","1521","75.101456","0","52.885803"
"56372","79","212","-74.25","-50.75","0.75617284","0.8","0.8","0.8","0","108","108","108","0","1424.738",,"1995","1662.1917","1442","92.973785","0","35.462963"
"56373","79","213","-73.75","-50.75","0.95679015","0.8","0.8","0.8","0","108","108","108","0","1618.982",,"2441","1871.0134","1361","192.48914","0","25.737654"
"56374","79","214","-73.25","-50.75","0.69753087","5","1.7333333","0.8","1.7461067","128","112.44444","108","8.314795","1956.2571",,"2323","1162.9927","502","414.28668","0","7.6975307"
"56375","79","215","-72.75","-50.75","12.429012","5","2.1125","0.8","1.9467521","128","114.25","108","9.270248","1955.7307",,"1188","684.9019","341","197.97916","0","5.262346"
"56376","79","216","-72.25","-50.75","10.475308","5","3.6","0.8","1.9798989","128","121.333336","108","9.42809","1955.2135",,"741","461.5128","271","97.826805","0","0.6265432"
"56377","79","217","-71.75","-50.75","1.6387337","5","5","5","0","128","128","128","0","1955.7307",,"813","461.395","224","150.11235","0","0.06517691"
"56378","79","218","-71.25","-50.75","0.67901236","5","5","5","0","128","128","128","0","1955.7307",,"477","278.62473","178","62.10439","0","0.018518519"
"56379","79","219","-70.75","-50.75","0.095679015","5","5","5","0","128","128","128","0","1955.7307",,"449","240.84584","141","64.733696","1.3209877","0.3271605"
"56380","79","220","-70.25","-50.75","0.030693676","5","5","5","0","128","128","128","0","1955.7307",,"415","201.04306","115","55.8478","0","0.5310006"
"56381","79","221","-69.75","-50.75","0.012345679","5","5","5","0","128","128","128","0","1955.7307",,"296","165.31195","78","46.781082","0.09259259","0.6666667"
"56382","79","222","-69.25","-50.75","0.012345679","5","5","5","0","128","128","128","0","1408.9473",,"462","198.6643","83","87.60889","0","26.845678"
"56852","79","692","165.75","-50.75","1.2849162",,,,,,,,,"111.65198",,"1325","1239.2037","1178","25.488613","0","95.36313"
"56853","79","693","166.25","-50.75","5.558642",,,,,,,,,"484.97247",,"1307","1190.096","1063","47.954292","0","80.5"
"57090","80","210","-75.25","-50.25","2.4722223","0.8","0.8","0.8","0","108","108","108","0","947.3479",,"1928","1657.7872","1448","100.63359","0","43.570988"
"57091","80","211","-74.75","-50.25","0.36419752","0.8","0.8","0.8","0","108","108","108","0","705.5106",,"1990","1733.5361","1560","82.771416","0","54.45062"
"57092","80","212","-74.25","-50.25","0.7407407","0.8","0.8","0.8","0","108","108","108","0","1504.3528",,"2328","1907.6963","1636","138.71863","0","34.780865"
"57093","80","213","-73.75","-50.25","0.23148148","5","0.8362069","0.8","0.3882757","128","108.17242","108","1.8489319","1863.132",,"2821","1990.4128","955","407.58035","0","11.796296"
"57094","80","214","-73.25","-50.25","0.79012346","5","3.9056337","0.8","1.8435565","128","122.788734","108","8.778841","1976.1322",,"1606","806.0308","502","211.78557","0","24.95679"
"57095","80","215","-72.75","-50.25","6.138889","5","5","5","0","128","128","128","0","1976.5453",,"1015","599.7833","333","154.82886","0","23.459877"
"57096","80","216","-72.25","-50.25","4.2530866","5","5","5","0","128","128","128","0","1976.5453",,"796","405.3525","284","107.04321","0","28.987654"
"57097","80","217","-71.75","-50.25","0.6517691","5","5","5","0","128","128","128","0","1976.5453",,"677","359.775","236","92.23439","0","1.0738672"
"57098","80","218","-71.25","-50.25","0.54320985","5","5","5","0","128","128","128","0","1976.5453",,"665","339.51334","209","98.61622","0","0.4537037"
"57099","80","219","-70.75","-50.25","0.030864198","5","5","5","0","128","128","128","0","1976.5453",,"544","274.96112","182","67.49463","0","0.2962963"
"57100","80","220","-70.25","-50.25","0.015346838","5","5","5","0","128","128","128","0","1976.5453",,"525","237.37694","138","73.78006","0","0.53406996"
"57101","80","221","-69.75","-50.25","0.7037037","5","5","5","0","128","128","128","0","1976.5453",,"481","227.44333","120","60.16381","0","0.5771605"
"57102","80","222","-69.25","-50.25","0","5","5","5","0","128","128","128","0","1966.9703",,"321","191.522","117","43.30107","0","0.8271605"
"57103","80","223","-68.75","-50.25","0","5","5","5","0","128","128","128","0","1150.4633",,"483","260.4877","148","82.57131","0","40.891975"
"57104","80","224","-68.25","-50.25","0","5","5","5","0","128","128","128","0","433.45593",,"463","369.10785","283","39.760315","0","78.604935"
"57105","80","225","-67.75","-50.25","0","5","5","5","0","128","128","128","0","14.040795",,"415","380.53125","318","32.688858","0","99.06173"
"57809","81","209","-75.75","-49.75","0.122774705","0.8","0.8","0.8","0","108","108","108","0","148.95462",,"1644","1445.0544","1356","64.87175","0","94.607124"
"57810","81","210","-75.25","-49.75","1.6141975","0.8","0.8","0.8","0","108","108","108","0","1119.7343",,"1984","1636.9099","1350","155.27109","0","47.012344"
"57811","81","211","-74.75","-49.75","1.4290123","0.8","0.8","0.8","0","108","108","108","0","1543.3484",,"2420","1949.3821","1580","183.73584","0","25.132715"
"57812","81","212","-74.25","-49.75","1.4537038","0.8","0.8","0.8","0","108","108","108","0","1306.9019",,"2320","1982.0068","1624","147.8229","0","39.89506"
"57813","81","213","-73.75","-49.75","0.33333334","5","1.0191305","0.8","0.9339859","128","109.04348","108","4.4475517","1869.082",,"2788","2074.0146","1120","319.1402","0","16.746914"
"57814","81","214","-73.25","-49.75","0.30246913","5","4.925664","0.8","0.55379283","128","127.64602","108","2.6371088","1997.096",,"1619","892.0958","478","278.73315","0","7.6450615"
"57815","81","215","-72.75","-49.75","1.8734568","5","5","5","0","128","128","128","0","1997.2092",,"1044","605.63","355","198.5808","0","27.44753"
"57816","81","216","-72.25","-49.75","0.90123457","5","5","5","0","128","128","128","0","1997.2092",1,"878","438.5975","306","126.48756","0","29.00926"
"57817","81","217","-71.75","-49.75","0.062073246","5","5","5","0","128","128","128","0","1997.2092",1,"625","427.8114","329","62.80932","0","0.48417133"
"57818","81","218","-71.25","-49.75","0.24382716","5","5","5","0","128","128","128","0","1997.2092",1,"610","454.9522","332","70.12474","0","0.5154321"
"57819","81","219","-70.75","-49.75","0.040123455","5","5","5","0","128","128","128","0","1997.2092",,"608","420.5161","226","78.247","0","0.027777778"
